"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","87088000","Suspension systems and parts thereof (including shock absorbers)","STAB LINK",3768,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","BREAST PADS",3768,"Other products","Other products","Other Imports"
"IMPORT","96039000","Other","BRUSHES OTHER",3753,"Other products","Other products ","Other Imports"
"IMPORT","84139100","Of pumps","IMPELLER, WATER PUMP",3752,"Other products","Other products ","Other Imports"
"IMPORT","91021900","Other","WATCH",3750,"Other products","Other products ","Other Imports"
"IMPORT","07149000","Other","PRESERVED DRIED CHINESE YAM",3724,"Other products","Other products ","Other Imports"
"IMPORT","57050000","Other carpets and other textile floor coverings, whether or not made up.","FLOOR MAT",3717,"Other products","Other products ","Other Imports"
"IMPORT","87084000","Gear boxes and parts thereof","STEERING WHEEL",3717,"Other products","Other products ","Other Imports"
"IMPORT","07134000","Lentils","LENTILS RED SPLIT",3714,"Other products","Other products ","Other Imports"
"IMPORT","08042000","Figs","DATES",3695,"Other products","Other products ","Other Imports"
"IMPORT","48236900","Other","SANDWICH BOX",3695,"Other products","Other products ","Other Imports"
"IMPORT","39169000","Of other plastics","CREALITY ENDER PLA FILAMENT",3693,"Other products","Other products ","Other Imports"
"IMPORT","91052100","Electrically operated","DREAM COLOR GRADIENT COLORWALL",3685,"Other products","Other products ","Other Imports"
"IMPORT","21041000","Soups and broths and preparations therefor","Soup seasoning bag",3678,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","OTHER PROTEIN SUBSTITUTES",3676,"Other products","Other products ","Other Imports"
"IMPORT","09024000","Other black tea (fermented) and other partly fermented tea","LEMON TEA",3675,"Other products","Other products ","Other Imports"
"IMPORT","35069900","Prepared glues and other prepared adhesives, nes","SUPER GLUE",3674,"Other products","Other products ","Other Imports"
"IMPORT","40159000","Other","GLOVES",3673,"Other products","Other products ","Other Imports"
"IMPORT","96032100","Tooth brushes including dental-plate brushes","TOOTH BRUSHES",3673,"Other products","Other products ","Other Imports"
"IMPORT","15094000","Other virgin olive oils","OLIVE OIL AND ITS FRACTIONS",3671,"Other products","Other products","Other Imports"
"IMPORT","96031000","Brooms and brushes, of twigs or other vegetable materials bound together","BRUSH",3660,"Other products","Other products ","Other Imports"
"IMPORT","96162000","Powder-puffs and pads for the application of cosmetics, etc","DUAL COLOR SERIES OVAL",3651,"Other products","Other products ","Other Imports"
"IMPORT","71179000","Other","LOVING HEART JEWELRY BOX",3649,"Other products","Other products ","Other Imports"
"IMPORT","83017000","Keys presented separately","KEY BOX",3626,"Other products","Other products ","Other Imports"
"IMPORT","40169300","Gaskets, washers and other seals","O-RINGS/WASHERS",3625,"Other products","Other products ","Other Imports"
"IMPORT","32159000","Other","PIGMENT SEPERATOR",3619,"Other products","Other products ","Other Imports"
