HS.Code_6,BEC4,Description
270710,22,intermediate goods
270720,22,intermediate goods
270730,22,intermediate goods
270740,22,intermediate goods
270750,22,intermediate goods
270791,22,intermediate goods
270799,22,intermediate goods
270810,22,intermediate goods
270820,22,intermediate goods
270900,31,intermediate goods
271012,32,intermediate goods
271019,32,intermediate goods
271020,32,intermediate goods
271091,21,intermediate goods
271099,21,intermediate goods
271111,322,Intermediate goods
271112,322,Intermediate goods
271113,322,Intermediate goods
271114,322,Intermediate goods
271119,322,Intermediate goods
271121,31,intermediate goods
271129,31,intermediate goods
271210,22,intermediate goods
271220,22,intermediate goods
271290,22,intermediate goods
271311,22,intermediate goods
271312,22,intermediate goods
271320,22,intermediate goods
271390,22,intermediate goods
271410,21,intermediate goods
271490,21,intermediate goods
271500,22,intermediate goods
271600,322,Intermediate goods
280110,22,intermediate goods
280120,22,intermediate goods
280130,22,intermediate goods
280200,22,intermediate goods
280300,22,intermediate goods
280410,22,intermediate goods
280421,22,intermediate goods
280429,22,intermediate goods
280430,22,intermediate goods
280440,22,intermediate goods
280450,22,intermediate goods
280461,22,intermediate goods
280469,22,intermediate goods
280470,22,intermediate goods
280480,22,intermediate goods
280490,22,intermediate goods
280511,22,intermediate goods
280512,22,intermediate goods
280519,22,intermediate goods
280530,22,intermediate goods
280540,22,intermediate goods
280610,22,intermediate goods
280620,22,intermediate goods
280700,22,intermediate goods
280800,22,intermediate goods
280910,22,intermediate goods
280920,22,intermediate goods
281000,22,intermediate goods
281111,22,intermediate goods
281119,22,intermediate goods
281121,22,intermediate goods
281122,22,intermediate goods
281129,22,intermediate goods
281210,22,intermediate goods
281290,22,intermediate goods
281310,22,intermediate goods
281390,22,intermediate goods
281410,22,intermediate goods
281420,22,intermediate goods
281511,22,intermediate goods
281512,22,intermediate goods
281520,22,intermediate goods
