HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
85351000,For a power handling capacity not exceeding 20 W,For a power handling capacity not exceeding 20 W,Other products,Other products ,Other Imports,Other products ,KGM,15
85352100,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85352900,"Other variable resistors, including rheostats and potentiometers","Other variable resistors, including rheostats and potentiometers",Other products,Other products ,Other Imports,Other products ,KGM,15
85353000,Parts,Parts,Other products,Other products ,Other Imports,Other products ,KGM,15
85354000,Printed circuits,Printed circuits,Other products,Other products ,Other Imports,Other products ,KGM,15
85359000,Fuses,Fuses,Other products,Other products ,Other Imports,Other products ,KGM,15
85361000,For a voltage of less than 72.5 kV,For a voltage of less than 72.5 kV,Other products,Other products ,Other Imports,Other products ,KGM,15
85362000,Automatic circuit breakers for a voltage >72.5 kV,Automatic circuit breakers for a voltage >72.5 kV,Other products,Other products ,Other Imports,Other products ,KGM,15
85363000,Isolating switches and make-and-break switches,Isolating switches and make-and-break switches,Other products,Other products ,Other Imports,Other products ,KGM,15
85364100,"Lightning arresters, voltage limiters and surge suppressors","Lightning arresters, voltage limiters and surge suppressors",Other products,Other products ,Other Imports,Other products ,KGM,15
85364900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85365000,Fuses,Fuses,Other products,Other products ,Other Imports,Other products ,KGM,15
85366100,Automatic circuit breakers,Automatic circuit breakers,Other products,Other products ,Other Imports,Other products ,KGM,15
85366900,Other apparatus for protecting electrical circuits,Other apparatus for protecting electrical circuits,Other products,Other products ,Other Imports,Other products ,KGM,15
85367000,For a voltage not exceeding 60 V,For a voltage not exceeding 60 V,Other products,Other products ,Other Imports,Other products ,KGM,15
85369000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85371000,Other switches,Other switches,Other products,Other products ,Other Imports,Other products ,KGM,15
85372000,Lamp-holders,Lamp-holders,Other products,Other products ,Other Imports,Other products ,KGM,15
85381000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85389000,"Connectors for optical fibres, optical fibre bundles or cables","Connectors for optical fibres, optical fibre bundles or cables",Other products,Other products ,Other Imports,Other products ,KGM,15
85391010,"For a voltage not exceeding 1,000 V","For a voltage not exceeding 1,000 V",Other products,Other products ,Other Imports,Other products ,KGM,15
85391090,"For a voltage exceeding 1,000 V","For a voltage exceeding 1,000 V",Other products,Other products ,Other Imports,Other products ,KGM,15
85392110,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,15
85392120,Sealed beam lamp units,NULL,Other products,Other products ,Other Imports,Other products ,NULL,NULL
85392130,General lighting service lamps<150 Watts,General lighting service lamps<150 Watts,Other products,Other products ,Other Imports,Other products ,NMB,15
85392190,"Incandescent, other than a type named above","Incandescent, other than a type named above",Other products,Other products ,Other Imports,Other products ,NMB,15
85392200,Tungsten halogen,NULL,Other products,Other products ,Other Imports,Other products ,NULL,NULL
85392900,Extra Low Voltage (ELV) halogen non-reflector lamps 5-14 volts,Extra Low Voltage (ELV) halogen non-reflector lamps 5 - 14 volts,Other products,Other products ,Other Imports,Other products ,NMB,15
85393110,Main voltage halogen non-reflector lamps>220V,Main voltage halogen non-reflector lamps>220V,Other products,Other products ,Other Imports,Other products ,NMB,15
85393120,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85393130,"Other, of a power not exceeding 200 W and for a voltage exceeding 100 V","Other, of a power not exceeding 200 W and for a voltage exceeding 100 V",Other products,Other products ,Other Imports,Other products ,NMB,15
85393140,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85393190,"Fluorescent, hot cathode",NULL,Other products,Other products ,Other Imports,Other products ,NULL,NULL
85393200,Compact fluorescent lamp self-ballasted,Compact fluorescent lamp self-ballasted,Other products,Other products ,Other Imports,Other products ,NMB,15
85393900,"compact fluorescent, externally ballasted volts","compact fluorescent, externally ballasted volts",Other products,Other products ,Other Imports,Other products ,NMB,15
85394100,"Straight type, 600 mm or greater nominal length (incl halophosphate and triphosphor)","Straight type, 600 mm or greater nominal length (incl halophosphate and triphosphor)",Other products,Other products ,Other Imports,Other products ,NMB,15
85394900,"Straight type, less than 600 mm greater nominal length","Straight type, less than 600 mm greater nominal length",Other products,Other products ,Other Imports,Other products ,NMB,15
