Year,Month,Food.sub.category,total
2017,November,Sugar,27294432
2017,October,Bakery products,111466176
2017,October,Canned Meats,38325846
2017,October,Confectionary,66313057
2017,October,Cordial,26043112
2017,October,Crisps and snacks,16395390
2017,October,Electrolyte drinks,5869136
2017,October,Noodles,47355714
2017,October,Processed Meats,38289600
2017,October,Soft Drinks,1735890
2017,October,Sugar,15880960
2017,September,Bakery products,65171841.75
2017,September,Canned Meats,28331652
2017,September,Confectionary,43143482.72
2017,September,Cordial,15791959.19
2017,September,Crisps and snacks,16105043
2017,September,Electrolyte drinks,7332717
2017,September,Noodles,33230457.84
2017,September,Processed Meats,27542734
2017,September,Soft Drinks,4273666
2017,September,Sugar,15526330.23
2018,April,Bakery products,63378268
2018,April,Canned Meats,10468968
2018,April,Confectionary,15726829
2018,April,Cordial,10864583
2018,April,Crisps and snacks,5397149
2018,April,Electrolyte drinks,6861195
2018,April,Noodles,17416199
2018,April,Processed Meats,10452244
2018,April,Soft Drinks,6199284
2018,April,Sugar,9031250
2018,August,Bakery products,42258602
2018,August,Canned Meats,37156820
2018,August,Confectionary,29361586
2018,August,Cordial,11621169
2018,August,Crisps and snacks,11308341
2018,August,Electrolyte drinks,8584400
2018,August,Noodles,18697649
2018,August,Processed Meats,28674590
2018,August,Soft Drinks,7391855
2018,August,Sugar,11670472
2018,December,Bakery products,113605546
2018,December,Canned Meats,51381384
2018,December,Confectionary,65964610
2018,December,Cordial,17428981
2018,December,Crisps and snacks,29138084
2018,December,Electrolyte drinks,13115519
2018,December,Noodles,54444759
2018,December,Processed Meats,31053165
2018,December,Soft Drinks,11716472
2018,December,Sugar,13473516
2018,February,Bakery products,26915800
2018,February,Canned Meats,13533916
2018,February,Confectionary,26183556
